,concept,label,standard_concept,2026-06-30 (FY),2025-06-30 (FY),2024-06-30 (FY),level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,Revenue,331839000000.0,281724000000.0,245122000000.0,4,False,False,False,,,,,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
1,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Product,,64696000000.0,63946000000.0,64773000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ProductMember,Product,srt:ProductOrServiceAxis: Product,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
2,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Service and Other,,267143000000.0,217778000000.0,180349000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ServiceOtherMember,Service and Other,srt:ProductOrServiceAxis: Service and Other,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
3,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,"OpenAI Global, LLC",,24100000000.0,,,4,False,True,True,srt:ScheduleOfEquityMethodInvestmentEquityMethodInvesteeNameAxis,msft_OpenAIGlobalLlcMember,"OpenAI Global, LLC","srt:ScheduleOfEquityMethodInvestmentEquityMethodInvesteeNameAxis: OpenAI Global, LLC",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
4,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Productivity and Business Processes,,139996000000.0,120810000000.0,106820000000.0,4,False,True,True,us-gaap:StatementBusinessSegmentsAxis,msft_ProductivityAndBusinessProcessesMember,Productivity and Business Processes,us-gaap:StatementBusinessSegmentsAxis: Productivity and Business Processes,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
5,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Intelligent Cloud,,137791000000.0,106265000000.0,87464000000.0,4,False,True,True,us-gaap:StatementBusinessSegmentsAxis,msft_IntelligentCloudMember,Intelligent Cloud,us-gaap:StatementBusinessSegmentsAxis: Intelligent Cloud,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
6,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,More Personal Computing,,54052000000.0,54649000000.0,50838000000.0,4,False,True,True,us-gaap:StatementBusinessSegmentsAxis,msft_MorePersonalComputingMember,More Personal Computing,us-gaap:StatementBusinessSegmentsAxis: More Personal Computing,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
7,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,United States,,170794000000.0,144546000000.0,124704000000.0,4,False,True,True,srt:StatementGeographicalAxis,country_US,United States,srt:StatementGeographicalAxis: United States,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
8,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Other Countries,,161045000000.0,137178000000.0,120418000000.0,4,False,True,True,srt:StatementGeographicalAxis,us-gaap_NonUsMember,Other Countries,srt:StatementGeographicalAxis: Other Countries,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
9,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Server Products and Cloud Services,,129425000000.0,98435000000.0,79828000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_ServerProductsAndCloudServicesMember,Server Products and Cloud Services,srt:ProductOrServiceAxis: Server Products and Cloud Services,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
10,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Microsoft 365 Commercial Products and Cloud Services,,101997000000.0,87767000000.0,76969000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_MicrosoftThreeSixFiveCommercialProductsAndCloudServicesMember,Microsoft 365 Commercial Products and Cloud Services,srt:ProductOrServiceAxis: Microsoft 365 Commercial Products and Cloud Services,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
11,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,XBOX,,21790000000.0,23455000000.0,21503000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_XBOXMember,XBOX,srt:ProductOrServiceAxis: XBOX,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
12,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,LinkedIn,,19817000000.0,17812000000.0,16372000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_LinkedInCorporationMember,LinkedIn,srt:ProductOrServiceAxis: LinkedIn,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
13,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Windows and Devices,,17084000000.0,17314000000.0,17026000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_WindowsAndDevicesMember,Windows and Devices,srt:ProductOrServiceAxis: Windows and Devices,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
14,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Search advertising,,15176000000.0,13878000000.0,12306000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_SearchAdvertisingMember,Search advertising,srt:ProductOrServiceAxis: Search advertising,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
15,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Microsoft 365 Consumer products and cloud services,,9175000000.0,7404000000.0,6648000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_MicrosoftThreeSixFiveConsumerProductsAndCloudServicesMember,Microsoft 365 Consumer products and cloud services,srt:ProductOrServiceAxis: Microsoft 365 Consumer products and cloud services,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
16,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Dynamics products and cloud services,,9006000000.0,7827000000.0,6831000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_DynamicsProductsAndCloudServicesMember,Dynamics products and cloud services,srt:ProductOrServiceAxis: Dynamics products and cloud services,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
17,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Enterprise and partner services,,8260000000.0,7760000000.0,7594000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_EnterpriseAndPartnerServicesMember,Enterprise and partner services,srt:ProductOrServiceAxis: Enterprise and partner services,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
18,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Other,,109000000.0,72000000.0,45000000.0,4,False,True,False,srt:ProductOrServiceAxis,msft_OtherProductsAndServicesMember,Other,srt:ProductOrServiceAxis: Other,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
